time, NIS_laser_, threshold_laser, NIS_radar_, threshold_radar
1477010449900000,0.761713,5.991,0.,7.815
1477010449950000,0.,5.991,10.0371,7.815
1477010450000000,0.764075,5.991,0.,7.815
1477010450050000,0.,5.991,3.25901,7.815
1477010450100000,1.33616,5.991,0.,7.815
1477010450150000,0.,5.991,5.58179,7.815
1477010450200000,1.69274,5.991,0.,7.815
1477010450250000,0.,5.991,2.36467,7.815
1477010450300000,0.612437,5.991,0.,7.815
1477010450350000,0.,5.991,1.33155,7.815
1477010450400000,0.828445,5.991,0.,7.815
1477010450450000,0.,5.991,0.22327,7.815
1477010450500000,2.03566,5.991,0.,7.815
1477010450550000,0.,5.991,1.53836,7.815
1477010450600000,0.188525,5.991,0.,7.815
1477010450650000,0.,5.991,2.05421,7.815
1477010450700000,1.70869,5.991,0.,7.815
1477010450750000,0.,5.991,2.70377,7.815
1477010450800000,0.288447,5.991,0.,7.815
1477010450850000,0.,5.991,0.85564,7.815
1477010450900000,1.66678,5.991,0.,7.815
1477010450950000,0.,5.991,1.04077,7.815
1477010451000000,0.600519,5.991,0.,7.815
1477010451050000,0.,5.991,4.06928,7.815
1477010451100000,0.46168,5.991,0.,7.815
1477010451150000,0.,5.991,5.59765,7.815
1477010451200000,3.46083,5.991,0.,7.815
1477010451250000,0.,5.991,0.99943,7.815
1477010451300000,1.64408,5.991,0.,7.815
1477010451350000,0.,5.991,1.27571,7.815
1477010451400000,1.34643,5.991,0.,7.815
1477010451450000,0.,5.991,1.75804,7.815
1477010451500000,1.72734,5.991,0.,7.815
1477010451550000,0.,5.991,4.86924,7.815
1477010451600000,2.73666,5.991,0.,7.815
1477010451650000,0.,5.991,0.228226,7.815
1477010451700000,0.120619,5.991,0.,7.815
1477010451750000,0.,5.991,3.47749,7.815
1477010451800000,3.67175,5.991,0.,7.815
1477010451850000,0.,5.991,0.249619,7.815
1477010451900000,0.955669,5.991,0.,7.815
1477010451950000,0.,5.991,0.396146,7.815
1477010452000000,0.493565,5.991,0.,7.815
1477010452050000,0.,5.991,2.6849,7.815
1477010452100000,1.12796,5.991,0.,7.815
1477010452150000,0.,5.991,2.15324,7.815
1477010452200000,0.895265,5.991,0.,7.815
1477010452250000,0.,5.991,1.62019,7.815
1477010452300000,1.92734,5.991,0.,7.815
1477010452350000,0.,5.991,4.59234,7.815
1477010452400000,0.597968,5.991,0.,7.815
1477010452450000,0.,5.991,1.44785,7.815
1477010452500000,1.06251,5.991,0.,7.815
1477010452550000,0.,5.991,1.40903,7.815
1477010452600000,2.242,5.991,0.,7.815
1477010452650000,0.,5.991,6.69425,7.815
1477010452700000,2.87118,5.991,0.,7.815
1477010452750000,0.,5.991,3.4742,7.815
1477010452800000,1.18599,5.991,0.,7.815
1477010452850000,0.,5.991,2.46958,7.815
1477010452900000,6.09782,5.991,0.,7.815
1477010452950000,0.,5.991,2.85591,7.815
1477010453000000,0.204891,5.991,0.,7.815
1477010453050000,0.,5.991,2.36087,7.815
1477010453100000,0.530489,5.991,0.,7.815
1477010453150000,0.,5.991,4.93207,7.815
1477010453200000,2.37535,5.991,0.,7.815
1477010453250000,0.,5.991,0.752428,7.815
1477010453300000,1.46446,5.991,0.,7.815
1477010453350000,0.,5.991,2.67933,7.815
1477010453400000,0.999387,5.991,0.,7.815
1477010453450000,0.,5.991,0.865677,7.815
1477010453500000,2.80818,5.991,0.,7.815
1477010453550000,0.,5.991,1.81063,7.815
1477010453600000,0.542559,5.991,0.,7.815
1477010453650000,0.,5.991,2.148,7.815
1477010453700000,1.10606,5.991,0.,7.815
1477010453750000,0.,5.991,3.36388,7.815
